
アイアンクロー　鋭い爪で敵を切り刻む。	Iron Claw: Slice enemies with sharp claws.
ファイアブレス　体内にためた力を一気に放つ。　　威力絶大	Firebreath: unleashes all the power it has stored inside its body at once. It's extremely powerful.
レザーアーマー　馬の革を何枚も重ねてある。　　　防御能力は低い。	Leather Armor: Several layers of horse leather. Its defense is low.
チェーンメイル　鎖で編まれていて丈夫にできている役にたつだろう。	Chain mail. It's made of chains, and it's made to be durable.
プレートメイル　鋼鉄でできてるので重いが多少の攻撃なら充分戦える	Plate mail. It's heavy because it's made of steel, but it can fight well enough with a few attacks.
ミスリルアーマー数多くの敵と闘うにはこれくらいの鎧は必要である。	Mithril armor required this much armor to fight many enemies.
ゴールドアーマー現代の技術では最高の強度を持つ鎧である。	Gold Armor is the strongest armor in modern technology.
レッドローブ　　魔法使いのマント	Red robe, wizard's cape.
ブルーローブ　　魔法使いのマント	Blue Robe: The Wizard's Cloak
イエローローブ　魔法使いのマント	Yellow Robe: Wizard's Cloak
シルバーローブ　魔法使いのマント	Silver Robe: Wizard's Cloak
ゴールドローブ　魔法使いのマント	Goldrobe: Wizard's Cloak
ウッドシールド　木製なので軽く^v	Wood Shield It's made of wood, so it's light ^v
て動きやすいが防御能力は低い。	It's easy to move around, but its defense is low.
スモールシールドウッドシールドより少し小さいがなかなか丈夫である	It's a little smaller than the Small Shield Wood Shield, but it's pretty tough.
ラージシールド　スモールシールドと同じ材質の少し大きめの盾。	Large Shield A slightly larger shield made of the same Muttonhead as Small Shield.
ミスリルシールドこの盾は敵の攻撃を防ぐには充分な効力を持っている	Mithril Shield, this shield has plenty of effect to defend against enemy attacks
ゴールドシールドこの盾は最強の盾といえるだろう。	Gold Shield, this shield could be said to be the strongest.
ブロンズミラー　魔法の力で敵の攻撃を跳ね返す。	Bronze Mirror: Uses magic to repel enemy attacks.
メタルミラー　　魔法の力で敵の攻撃を跳ね返す。	Metal Mirror: Bouncing off enemy attacks with the power of magic.
プラチナミラー　魔法の力で敵の攻撃を跳ね返す。	Platinum Mirror: Bouncing off enemy attacks with the power of magic.
ミスリルミラー　魔法の力で敵の攻撃を跳ね返す。	Mithril Mirror: Bouncing off enemy attacks with the power of magic.
ゴールドミラー　魔法の力で敵の攻撃を跳ね返す。	Gold Mirror: Bouncing off enemy attacks with the power of magic.
無敵　　　　　　一定時間無敵！！	Invincible. Invincible for a set amount of time!!
ヘルメット　　　一定時間上空からの攻撃を防ぐことができる。	Helmet Can block attacks from above for a certain amount of time.
スパイクブーツ　氷の上でも滑らない。	Spike boots. They don't slip on ice.
石靴　　　　　　トゲの上でも平気で歩ける。ただしジャンプ力下がる	Stone shoes You can walk on thorns without a care in the world. However, your jumping power will decrease.
ツルハシ　　　　	Black pickaxe
ダガー　　　　　投げナイフ。	Dagger, throwing knife.
ブーメラン　　　回転しながら手元にもどってくる、武器。	Boomerang The weapon spins as it comes back to me.
オレンジ　　　　体力が２０回復する。	Orange Restores 20 HP.
チェリー　　　　体力が５０回復する。	Cherry restores 50 HP.
リンゴ　　　　　体力が完全回復する。	Ringo, your stamina is fully restored.
金塊　　　　　　	Gold nugget
エリクサー　　　復活剤。	Elixir. Resurrection.
ブーメランＤＸ　ブーメランのパワーアップ型。	Boomerang DX: Boomerang power-up type.
プラズマブレードPウォータービームPロッククラッシュ@アイアンアーマー	Plasma Blade P Water Beam P Rock Crash@Iron Armor.
プラズマアーマーPアクアローブ　　Pバトルアーマー　@アイアンシールド	Plasma Armor P Aqua Robe P Battle Armor @Iron Shield
プラズマシールドPウォーターミラーPバトルシールド　煬ｶ影の腕輪　	Plasma Shield P Water Mirror P Battle Shield Yokakage’s Bracelet
いらっしゃいませご用件は？　　　	Welcome. What can I do for you?
　　売る　	Sell it.
他にも何かご用がございますか？　	Is there anything else you need?
　　売る　	Sell it.
　　説明	Explain
どれをお求めに　なりますか？	Which one would you like?
　でよろしい　　　　　　ですか？	Is that all right with you?
　ＹＥＳ	YES
あなたはそのアイテムをこれ以上持てません。	You can't carry that item any longer.
お金が足りません	We don't have enough money.
ありがとうございました。	Thank you very much.
何を売っていただけますか？	What will you sell me?
になります。　　	It will be.
　ＹＥＳ	YES
これ以上　売れるものがありません	There's nothing more we can sell.
治療に　　　　　ゴールド必要です治療しますか？　	We need gold to treat it. Do you want gold to treat it?
　ＹＥＳ	YES
どこにも異常は　ないようです。	There's nothing out of the ordinary here.
お大事に‥‥。	Take care...
テヌャ	Tenuja
ブラッキィ	Slick
赤マントの男	The Man in the Red Cloak
僕を、町まで連れてってくれよ。もし、連れてってくれたら	Take me to town. If you take me to town.
それなりの金は、払うからさぁ。	I'll pay you a fair amount of money.
ふうん。	Hmm.
実はあたし、賞金稼ぎなのよ。	You see, I'm a bounty hunter.
このジャングルに来た訳も	I didn't come to this jungle.
賞金首になっているマテリアルを探しているからなの。	I'm looking for Muttonheads with a bounty on them.
あんたがその賞金よりも、	More than that prize money,
もし、多く金を出してくれるっていうのなら、考えてもいいわ。	If you're willing to pay me a lot of money, I can think about it.
冗談じゃない！	You're joking!
そんなに、持ってるわけない	I don't have that many.
だろ！！	Right?!
仕方がない。	It can't be helped.
町にいくのはあきらめるよ。	I give up on going to town.
そのかわり早く助けを呼んできてくれないか。	In exchange, could you hurry up and call for help?
いつまでも、こんな	I'll be stuck here.
ないからね。	I don't have any.
おかしいわねぇ。	That's strange.
あんたの仲間に、知らせておいたのに…。	I let your friends know...
何やってんのかしら…。	I wonder what he's doing...
ﾞ･メイル、いつになったら、	Meiru, when will you...
助けを呼んでくれるんだい？	Will you call for help?
頼むから、早く呼んで来てくれ！	I'm begging you, go get her!
ｪあなた、よその人ね。	You're a stranger, aren't you?
戦士みたいな格好して、女なら	Dressed like a warrior, if it’s a woman
やっぱり、女らしくしなくちゃ	I have to act like a woman after all.
だめよ。	You can't.
ｪまた、ブラッキィさんが、いなくなったのよ。	Hey, Mr. Slick's gone again.
一体、どれだけ私たちに心配を	Just how worried are you about us?
かければ、気がすむのかしら。	I wonder if I'll feel better if I put it on.
あなた、魔法使いね。	You're a wizard.
男ならやっぱり、たくましい	If you're a man, you're strong.
戦士じゃなくちゃ。	You have to be a warrior.
あなた、怪獣ね。	You're a monster.
私、怪獣は好きじゃないの。	I don't like monsters.
あなた、行方不明になった	You went missing.
ブラッキィさんを見つけて	Find Mr. Slick.
くれたんですって？	You gave it to me?
だったら、何で一緒に連れてきてくれなかったのよ！	Then why didn't you bring me with you?!
あなた賞金稼ぎらしいけど、	I heard you're a bounty hunter.
お金にしか興味のない、	She's only interested in money.
冷たい人間なのね。	You're a cold person.
ブラッキィさん、どうしている	What are you doing, Mr. Slick?
かしら…。	I wonder...
まったく、ブラッキィさんたら、何やってるのかしら…。	Honestly, I wonder what Mr. Slick is doing...
みんなに、心配かけて…。	I made everyone worry...
爆弾？	A bomb?
そういえばブラッキィさん、	Come to think of it, Mr. Slick...
作るのが得意だったわねぇ。	You were good at making them, huh?
でも、たくさん作ったら、	But if I make a lot,
巨大な魔物に盗まれたとか	I heard it was stolen by a giant monster.
言ってたわ。	That's what he said.
巨大な魔物ってもしかして	A giant monster, maybe?
この森の出口の近くにいた、	I was near the exit of this forest,
あの爆弾を投げる奴かな？	I wonder if he's the one who's gonna throw that bomb?
巨大な魔物ってもしかして	A giant monster, maybe?
ファイアの魔法がきかなかった、あの爆弾を投げる魔物かな？	Maybe it’s that bomb-throwing monster that Fire’s magic didn’t work on?
あら、こんな所に、よその人が	Oh, there's a stranger here.
くるなんて珍しいわね。	It's rare to see you here.
そういえば、何日か前にも赤い	Come to think of it, it was red a few days ago, too.
マントをはおった男の人が、	A man wearing a cape...
来たっけ。	I think she's here.
なんでも、自分のお師匠様を	Anything, my own master.
探しているとかいって、奥に	She says she's looking for it, and she's in the back.
進んでいったわ。	We're making progress.
でも、このジャングルの奥には、そのへんにいる魔物とは、	But deep in this jungle, the monsters in that area were...
比べものにならないくらい	There's no comparison.
恐ろしい魔物がいるのよ。	There are terrifying monsters out there.
大丈夫かしらね…。	I wonder if she'll be okay...
こんな所に珍しいわね。	It's rare to see you in a place like this.
何しに来たの？	What did you come here for?
あら、	Oh,
こんな所に珍しいわね。	It's rare to see you in a place like this.
何しに来たの？	What did you come here for?
あら、あなた誰？	Oh, who are you?
ヌイグルミなんかかぶって	Wearing a stuffed animal or something
暑くないの？	Aren't you hot?
ヌイグルミじゃないガウ！	It's not a stuffed animal, gow!
オレは、怪獣ガウ！！	I'm a kaiju gou!!
･ぼくらの他にも、仲間がいたんだけど、みんな魔物にやられて	・In addition to us, there were other friends, but they were all killed by monsters
しまったんだ。	I put it away.
･そこの穴を通れば、上へ、行けるようになっている。	・If you go through that hole, you can go up.
気をつけていきなよ。	Be careful out there.
･この村は、大きな木の下にある	・This village is under a large tree.
からたまに、魔物が落ちて	From time to time, monsters fell.
くるんだ。	Come on. Come on.
その魔物を退治するのが、俺達の役目さ。	It's our duty to exterminate those monsters.
でも、	But...
落ちてくるとは思わなかったよ。	I didn't think you'd fall.
ｰ竺竺えっ、ブラッキィが抜け出し	Jikujikue, brackey slipped out.
たって！？	What?!
いつか、この村を出て行って	Someday, I’ll leave this village
やると言っていたが、ついに	He’d said he’d do it, but at last
出て行ったか…。	So she left...
でも彼、何も武器を持ってない	But he doesn't have a weapon.
から、そのうち魔物にやられて	So, eventually, the monsters got me.
しまうわ。	I'll put it away.
だから、あなた達が助けてあげてくれないかしら。	That's why I'd like you to help her.
･わかったよ。	- Okay.
早速、仲間と一緒に助けに	Right away, I'm going with my friends to help.
行くよ。	Let's go.
ところで、ブラッキィは、	By the way, Brady...
今どこにいるんだい？	Where are you now?
このジャングルを、左に行った	I went left through this jungle.
所の木の上に、隠れているわ。.	He's hiding in a tree.
なっちゃったよ。	That's what I've become.
あいつには、ホント手を	I'm really going to do something to him.
やくよな。	Hurry up, will you?
ｰやぁブラッキィを、助けて	Hey, help me, Slick.
来たよ。	I'm here.
まったく、人騒がせなヤツ	Seriously, what a noisy guy.
だよな。	That's right.
･やぁ、こんなジャングル奥地の	Hey, in the middle of the jungle.
村にお客さんが、来るなんて	I can't believe there's a guest in the village.
珍しいな。	That's unusual.
僕は、この下にある村に、魔物が落ちないように見張りをして	I’ll keep an eye on the village below to make sure no monsters fall
いるんだ。	She's here.
ﾖ･おや、君は誰だい？	Yo, who are you?
こんな所で、何をしているん	What are you doing here?
だい？	- Yes, sir?
あたしは、メイル。	I'm Meiru.
賞金稼ぎよ。	Bounty hunter.
賞金首のマテリアルを、探しに	I'm looking for Muttonheads for the bounty.
ここまで来たの。	I've come this far.
賞金稼ぎかい？	A bounty hunter?
じゃあ、マリオネット強盗団	Okay, marionette bandits.
というのを知らないかい？	Don't you know that?
最近、そいつらがこの辺りに	They've been around here lately.
現れて、村の人達が被害にあっているんだ。	They showed up, and the people of the village were hurt.
それで俺は、そいつらを追って	So I chased after them.
いるんだ。	She's here.
マリオネット強盗団…	Marionette robbery...
ですって！？	What did you say!?
あたしも、この村へ来る途中に	I was on my way to this village, too
あと一歩という所まで追いつめ	We're just one step away from him.
たんだけど、逃げられちゃった	I tried, but he ran away.
のよ。	That's right.
ﾖ･そうか…。	Yo, I see...
実は、俺の村も被害にあってね。やつらには、困りはてて	Actually, my village was also damaged. They were troubled.
いるんだ。	She's here.
俺の名は、ナモ。	My name is Namo.
もしやつらの足取りでも	Even if it's their gait
つかめたら教えてくれ。	Let me know when you get a hold of it.
あんたにそんなこと教えて	That's what I told you.
あたしになんか得でもあんの？	What's in it for me?
俺は大樹木の塔の村一番の	I'm the best in the village of the Tower of Trees.
力自慢さ。	I'm proud of my power.
何か、役に立てることもきっと	I'm sure there's something I can do to help.
あるさ。	Yeah, I do.
ｦがんばってメイルも、	Good luck, Meiru.
マテリアルのヤツを捕まえて	I'll get the Muttonhead guy.
くれよ。	Give it to me.
あんなやつらを、野放しに	I'm going to let them run free.
しては、絶対にいけない。	I absolutely mustn't do that.
ｦ俺も、もう少ししたら村に	I'll be in the village in a little while.
戻らないと、村の仲間が心配するからな。	If we don't go back, our comrades in the village will be worried.
どこからか男の叫び声が、	A man’s shout came from somewhere...
聞こえてくる。	I can hear it.
助けてくれー！！	Help me!!
おかしいわね。	That's strange.
確かに人の声が、聞こえたんだ	I definitely heard someone's voice.
けど…。	But...
空耳だった…かな？	Maybe I was just hearing things?
ﾖ･$Qおーい。	Yo $Q, hey.
上だよ、	Upstairs,
上！	Up!
あんた、そんなとこで何やってんのよ。	What are you doing over there?
ボヤボヤしていると、魔物の	As I was muttering, I noticed a familiar
えじきになっちゃうわよ！	It's going to be a disaster!
ﾖ･$T僕だって、いたくているんじゃ	Yo $T, I'm hurting too.
ないよ。	I don't have one.
しかし、次々と魔物が襲ってきて逃げきれず、ここから動けなく	However, monsters attacked one after another, making it impossible to escape, and they couldn’t move from here
なっちゃったんだ。	I've become one.
あのさー、ジャングルを少	You know, there's not much jungle.
ｵ奥にいったところに、僕の住んでいた村があるんだけど、助けを呼んで来てくれないかなぁ？	There's a village I used to live in that way. Could you call for help?
情けないわねぇ。	How pathetic.
そんなことならその村から	If that's the case, then from that village
出てこなけりゃ、いいじゃない。	As long as she doesn't come out, it's fine.
ﾞ･$Y僕は、あんな何もない村に	I'm going to that empty village.
うんざりして出てきたんだ。	I came out because I was fed up.
町に出て、楽しく暮らし	I'm going to town, and I'm having fun.
あのさー、あんた女なのに	You know, you're a woman.
ここまでひとりでこれるんだから強いんだろ？	You're strong because you can make it this far on your own, right?
頼むから僕を、町まで連れてってくれないかなぁ？	I'm begging you, will you take me to town?
何言ってんのよ！	What are you saying?!
こんなジャングル、一人で	I'm alone in this jungle.
抜けられないくらいなら、	If you can't pull it out,
村に戻って、おとなしく	I’ll go back to the village and be quiet
暮らしてりゃいいのに！	You should be living here!
あんた、名前は？	What's your name?
ﾞ･$_ブラッキィ、	$_Slick,
ブラッキィってんだ。	It's called brackey.
はやく、助けてくれよー！！	Hurry up and help me!!
おや、珍しい。	Oh, that's unusual.
こんな所で人に、しかも女の人に会うなんて…。	I can't believe I'm meeting someone here, and a woman at that...
ねぇ君、一体どうしてこんな所にいるんだい？	Hey, what are you doing here?
あたしはこの国の賞金首になっているマテリアルって魔導師を	I'm a Sorcerer of this country's bounty Muttonhead.
捕まえにきたの。	I'm here to catch you.
ねぇ。	Hey.
あんた知らない？	You don't know?
うん。	Yeah.
実はその魔導師というのは僕の	Actually, that Sorcerer is my
お師匠様なんだ。	It's Master.
昔のお師匠様は、皆に慕われる	My old master is admired by everyone.
素晴らしい人だった。	She was a wonderful person.
なのに最近、急におかしく	But lately, she’s been acting strange all of a sudden.
なられて…。	I'll become one...
だから僕は、お師匠様を、	That's why, I...
説得するため探しているんだ。	I'm looking for a way to convince her.
何でも、この先の大樹木の塔に	Whatever it is, it's in the tower of big trees up ahead.
いるらしいんだけど、	She seems to be here, but...
この上にいる魔物に、僕の	To the monsters on top of me, my
ファイアの魔法が、効かなくて	Fire magic didn't work.
困っているんだ。	I'm in trouble.
なんだ、だから、こんな所で、	What, like I said, in a place like this,
つっ立ってたのか。	So she was standing there.
そんなの、あたしにかかれば	That's something I can do.
楽勝よ。	It'll be easy.
まかせなさい！！	Leave it to me!!
ｼくれぐれも気をつけて…。	Please be careful...
やつを倒したのかい！	You defeated him!
スゴイなあ。	Wow, that's amazing.
よし、さっそく大樹木の塔に	All right, let's get to the big tree tower.
行ってみよう。	Let's go check it out.
どうもありがとう。	Thank you very much.
えーと…、君、名前は？	Um... What's your name?
あたしは、メイル。	I'm Meiru.
賞金稼ぎのメイルよ。	I'm Meiru, the bounty hunter.
ｦ$"メイルか。	Oh, it's Meiru.
僕は、魔法使いのタットって	I'm Tat, the Wizard.
いうんだ。	Say it.
まだ、修業中の身だけどね。	I'm still in training, though.
じゃあメイル、機会があったら	Okay, Meiru, if you get the chance.
また会おう。	I'll see you again.
ｦ$$お〜い！！	Hey, $$!
待ってくれよー！！	Wait for me!!
ｦひどいなぁ、魔物を倒せたんなら教えてよ。	That's awful. Tell me if you were able to defeat the monsters.
でも、スゴイなぁ。	But it's amazing.
あっさり倒しちゃうんだもの。	You beat him so easily.
でも、これで大樹木の塔へ	But now we're going to the Tower of Trees.
行けるよ。	I can go.
ﾞ･君のおかげで、無事村に戻る	Thanks to you, I'll be able to return to the village safely.
ことが出来たよ。	It's done.
でも、僕はいつか町へ行って	But someday, I'll go to town.
やるんだ。	I'm going to do it.
ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。	Shortsword A lightweight, easy-to-manage sword. However, its lethality is low.
ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。	Longsword A longsword about a meter long. A necessity in a cave full of monsters.
ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。	Falsion A large sword made of steel. Its attack power is quite impressive.
フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付	Flame Sword: A sword made from flame, its ease of use and lethality guaranteed.
ライトセイバー　現存する剣の中で最強を誇る剣。	Light Saber: The strongest sword in existence.
ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。	Fire Magic You can continuously fire in the direction you're going. It's effective in any location.
ファイア　ＤＸ　ファイアの魔法が３つに分裂する。	Fire DX Fire magic splits into three parts.
サンダーの魔法　雷の槍が敵を　　貫通	Thunder's magic, Lightning Spear, pierces the enemy.
ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。	Homing Up to 6 bullets chase after the enemy. However, there are some enemies that won't work.
フォース　　　　自らの魔力を弾にして敵に放つ。	Force: Uses its own magical energy as a bullet to fire at the enemy.
